epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0461,4.12387,5.32899,1.48356,0,0,0,0,3.98236,4.67067,1.30065,7.69e-05,7.69e-05,7.69e-05
2,74.2213,3.99261,4.7297,1.16014,0,0,0,0,4.05749,4.5886,1.00541,0.000160957,0.000160957,0.000160957
3,91.8236,4.04138,4.20613,1.04541,0.00025,0.00098,0.00014,6e-05,3.96614,4.36611,0.90996,0.000244456,0.000244456,0.000244456
4,112.769,3.95384,3.74327,0.96112,0.00833,0.02892,0.00469,0.00115,3.9119,4.00512,0.90286,0.000327396,0.000327396,0.000327396
5,130.697,3.91745,3.51542,0.94712,0.01567,0.06051,0.01217,0.00323,3.90339,3.76933,0.90215,0.000409779,0.000409779,0.000409779
6,146.881,3.85281,3.33464,0.93021,0.01817,0.06981,0.0143,0.00309,3.99293,3.65768,0.91585,0.000491602,0.000491602,0.000491602
7,161.835,3.83176,3.22371,0.91831,0.02012,0.09142,0.01829,0.00488,3.82658,3.5575,0.91883,0.000572868,0.000572868,0.000572868
8,176.971,3.77916,3.10553,0.89632,0.02655,0.13378,0.03018,0.00813,3.72022,3.28245,0.90077,0.000653575,0.000653575,0.000653575
9,191.965,3.84432,2.97668,0.89336,0.03442,0.15061,0.03353,0.00909,3.73288,3.10172,0.89288,0.000733724,0.000733724,0.000733724
10,203.676,3.7834,2.88694,0.89683,0.35725,0.0686,0.0466,0.01238,3.67762,2.99178,0.89582,0.000746161,0.000746161,0.000746161
11,210.458,3.77618,2.83082,0.87649,0.22441,0.08697,0.04162,0.01165,3.67858,2.84159,0.89952,0.000743623,0.000743623,0.000743623
12,224.497,3.70989,2.77083,0.88944,0.25345,0.0865,0.04511,0.01178,3.62317,2.90753,0.89522,0.000741085,0.000741085,0.000741085
13,238.235,3.77977,2.70181,0.87038,0.24741,0.09002,0.0478,0.01306,3.63413,2.87639,0.89484,0.000738548,0.000738548,0.000738548
14,247.355,3.74828,2.65488,0.8686,0.23129,0.10333,0.05473,0.01525,3.63792,2.73009,0.85804,0.00073601,0.00073601,0.00073601
15,256.714,3.73323,2.61697,0.86177,0.23193,0.11549,0.06342,0.01796,3.63248,2.65564,0.84993,0.000733472,0.000733472,0.000733472
16,271.664,3.73755,2.57527,0.84117,0.26094,0.10392,0.05919,0.01688,3.6069,2.50436,0.86108,0.000730935,0.000730935,0.000730935
17,286.203,3.63401,2.55187,0.86008,0.30353,0.12131,0.07617,0.02201,3.60007,2.5483,0.85514,0.000728397,0.000728397,0.000728397
18,299.664,3.67942,2.53878,0.85318,0.38617,0.12522,0.07559,0.02134,3.57935,2.55735,0.84032,0.000725859,0.000725859,0.000725859
19,307.669,3.64145,2.55625,0.87112,0.26463,0.1295,0.08083,0.02273,3.5775,2.46297,0.84226,0.000723321,0.000723321,0.000723321
20,322.485,3.62266,2.51561,0.85069,0.27271,0.13536,0.07957,0.02006,3.60792,2.51363,0.84355,0.000720784,0.000720784,0.000720784
21,336.948,3.61371,2.50286,0.86342,0.2936,0.13773,0.08436,0.0211,3.60201,2.5414,0.83788,0.000718246,0.000718246,0.000718246
22,351.138,3.6338,2.46443,0.85108,0.31992,0.13853,0.08656,0.02579,3.61999,2.50908,0.82349,0.000715708,0.000715708,0.000715708
23,365.266,3.62601,2.50182,0.83706,0.39776,0.13392,0.08928,0.02546,3.54405,2.40877,0.82219,0.000713171,0.000713171,0.000713171
24,379.51,3.69088,2.54449,0.85251,0.31101,0.13067,0.08789,0.02634,3.53286,2.50794,0.83536,0.000710633,0.000710633,0.000710633
25,393.539,3.5984,2.4847,0.84266,0.33358,0.12241,0.08876,0.02763,3.50706,2.6163,0.8456,0.000708095,0.000708095,0.000708095
26,408.285,3.63775,2.44217,0.84969,0.41489,0.12959,0.08892,0.02944,3.50829,2.5603,0.8484,0.000705558,0.000705558,0.000705558
27,423.418,3.56165,2.43459,0.84898,0.38331,0.15209,0.08103,0.02549,3.52662,2.33831,0.84141,0.00070302,0.00070302,0.00070302
28,438.024,3.59704,2.4469,0.84344,0.38339,0.15384,0.08897,0.02779,3.52377,2.32167,0.82951,0.000700482,0.000700482,0.000700482
29,451.531,3.56978,2.39683,0.83837,0.40068,0.15608,0.09313,0.02868,3.51169,2.30115,0.8277,0.000697944,0.000697944,0.000697944
30,466.613,3.60475,2.33682,0.8269,0.37875,0.13248,0.0834,0.02306,3.57022,2.37,0.82239,0.000695407,0.000695407,0.000695407
31,482.32,3.53585,2.3484,0.84358,0.38585,0.14937,0.08493,0.02418,3.5315,2.33609,0.8286,0.000692869,0.000692869,0.000692869
32,497.065,3.57955,2.39088,0.83584,0.39475,0.13563,0.0831,0.02355,3.51197,2.33064,0.8284,0.000690331,0.000690331,0.000690331
33,511.153,3.57988,2.36668,0.83428,0.39309,0.13319,0.08933,0.02477,3.48521,2.32748,0.83558,0.000687794,0.000687794,0.000687794
34,527.176,3.53356,2.39713,0.85652,0.37258,0.17521,0.09565,0.02933,3.49893,2.33244,0.83077,0.000685256,0.000685256,0.000685256
35,541.393,3.59745,2.34434,0.83948,0.49849,0.17138,0.10013,0.03118,3.48643,2.26992,0.82307,0.000682718,0.000682718,0.000682718
36,556.507,3.5653,2.30358,0.81419,0.30697,0.14683,0.09143,0.02887,3.46294,2.28657,0.83746,0.000680181,0.000680181,0.000680181
37,571.258,3.54432,2.29478,0.83248,0.29263,0.14876,0.10018,0.0328,3.45392,2.28627,0.84199,0.000677643,0.000677643,0.000677643
38,587.447,3.54111,2.32208,0.83359,0.27765,0.15884,0.09609,0.02855,3.4661,2.2364,0.82705,0.000675105,0.000675105,0.000675105
39,603.826,3.51562,2.29971,0.83504,0.27057,0.14981,0.09731,0.02932,3.47891,2.28772,0.83536,0.000672567,0.000672567,0.000672567
40,619.1,3.48966,2.327,0.85103,0.39388,0.15106,0.08814,0.02737,3.48843,2.29275,0.83694,0.00067003,0.00067003,0.00067003
41,632.967,3.52942,2.27038,0.8233,0.29767,0.15272,0.08622,0.02509,3.47542,2.27982,0.83403,0.000667492,0.000667492,0.000667492
42,648.665,3.52673,2.28631,0.81976,0.40822,0.14908,0.09777,0.02866,3.4573,2.21653,0.82918,0.000664954,0.000664954,0.000664954
43,663.608,3.542,2.31415,0.82124,0.40473,0.16641,0.10586,0.02981,3.46846,2.20783,0.81829,0.000662417,0.000662417,0.000662417
44,679.01,3.47423,2.26066,0.82586,0.17447,0.173,0.11018,0.03362,3.45905,2.1936,0.81282,0.000659879,0.000659879,0.000659879
45,694.04,3.51069,2.26833,0.81655,0.29242,0.17486,0.10981,0.03529,3.46252,2.19438,0.80694,0.000657341,0.000657341,0.000657341
46,710.164,3.46045,2.29285,0.83562,0.18221,0.18013,0.10985,0.03537,3.4493,2.18913,0.81174,0.000654804,0.000654804,0.000654804
47,724.847,3.53536,2.2943,0.82389,0.1957,0.17012,0.10705,0.03415,3.44981,2.20411,0.81417,0.000652266,0.000652266,0.000652266
48,739.882,3.48839,2.2612,0.83056,0.31836,0.17604,0.10494,0.03359,3.42805,2.19554,0.8157,0.000649728,0.000649728,0.000649728
49,753.779,3.47776,2.24384,0.83599,0.17268,0.16451,0.10415,0.03494,3.44763,2.21962,0.81288,0.00064719,0.00064719,0.00064719
50,767.939,3.4619,2.22892,0.82605,0.1547,0.16662,0.09512,0.02984,3.45944,2.22954,0.81121,0.000644653,0.000644653,0.000644653
51,782.725,3.48177,2.25279,0.82475,0.17083,0.17994,0.09868,0.02987,3.44132,2.20685,0.82867,0.000642115,0.000642115,0.000642115
52,797.43,3.523,2.25875,0.82944,0.17705,0.18456,0.10541,0.03406,3.43797,2.23553,0.83577,0.000639577,0.000639577,0.000639577
53,812.24,3.44975,2.21692,0.82848,0.22095,0.16825,0.11034,0.03501,3.45908,2.23451,0.82632,0.00063704,0.00063704,0.00063704
