epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,106.142,2.80478,4.83801,2.45586,0.48249,0.44256,0.43704,0.22084,2.26458,3.31277,2.25888,0.00998282,0.00332761,0.00998282,0.00332761,0.00998282,0.00332761,0.00998282,0.00332761
2,199.198,2.10521,3.20947,1.95315,0.54015,0.47105,0.4995,0.24808,2.22214,3.26282,2.25595,0.019883,0.00662767,0.019883,0.00662767,0.019883,0.00662767,0.019883,0.00662767
3,286.597,2.02141,2.92395,1.8719,0.6216,0.35323,0.37312,0.21578,2.18242,3.72114,2.15628,0.0296833,0.00989445,0.0296833,0.00989445,0.0296833,0.00989445,0.0296833,0.00989445
4,370.857,1.9884,2.79131,1.8557,0.73197,0.48904,0.53309,0.29303,2.03119,2.88401,2.03945,0.0295505,0.00985018,0.0295505,0.00985018,0.0295505,0.00985018,0.0295505,0.00985018
5,454.72,1.90805,2.52706,1.80202,0.74216,0.53822,0.59652,0.32771,2.00087,2.66876,2.04242,0.0294007,0.00980023,0.0294007,0.00980023,0.0294007,0.00980023,0.0294007,0.00980023
6,538.72,1.84324,2.40482,1.77268,0.67012,0.56623,0.61876,0.36863,1.91487,2.57423,1.98691,0.0292509,0.00975029,0.0292509,0.00975029,0.0292509,0.00975029,0.0292509,0.00975029
7,622.467,1.80936,2.29907,1.75477,0.74778,0.55885,0.64971,0.41439,1.84462,2.43831,1.93757,0.0291011,0.00970035,0.0291011,0.00970035,0.0291011,0.00970035,0.0291011,0.00970035
8,706.303,1.77264,2.23027,1.73824,0.70833,0.55529,0.63032,0.39433,1.88987,2.59817,1.97948,0.0289512,0.00965041,0.0289512,0.00965041,0.0289512,0.00965041,0.0289512,0.00965041
9,790.117,1.75331,2.17735,1.72489,0.72543,0.58361,0.66202,0.40773,1.85539,2.40872,1.92959,0.0288014,0.00960047,0.0288014,0.00960047,0.0288014,0.00960047,0.0288014,0.00960047
10,874.005,1.722,2.12562,1.71208,0.75004,0.58264,0.67524,0.42801,1.81125,2.45106,1.90864,0.0286516,0.00955053,0.0286516,0.00955053,0.0286516,0.00955053,0.0286516,0.00955053
11,957.566,1.72104,2.11024,1.71568,0.7304,0.5795,0.66719,0.42779,1.81323,2.41294,1.91707,0.0285018,0.00950058,0.0285018,0.00950058,0.0285018,0.00950058,0.0285018,0.00950058
12,1041.14,1.69107,2.07889,1.69956,0.75463,0.62267,0.7035,0.44512,1.81082,2.30779,1.91607,0.0283519,0.00945064,0.0283519,0.00945064,0.0283519,0.00945064,0.0283519,0.00945064
