epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,267.493,6.05796,4.9756,0.32016,0.10845,0.16162,0.08186,0.02758,5.70049,4.54259,0.32846,5.30071e-05,5.30071e-05,0.086617
2,512.315,4.97485,3.71626,0.28356,0.12544,0.19253,0.09162,0.03423,5.38039,4.61346,0.32199,0.000103529,0.000103529,0.073216
3,780.666,4.67633,3.48384,0.27418,0.30918,0.22977,0.15035,0.0534,5.01393,4.19807,0.28466,0.00014424,0.00014424,0.0598053
4,1043.72,4.43693,3.30654,0.26621,0.32737,0.27042,0.18719,0.06864,4.6597,3.52021,0.2798,0.000169317,0.000169317,0.0463789
5,1286.99,4.2678,3.16331,0.26087,0.23723,0.33726,0.21163,0.0805,4.42362,3.42183,0.27789,0.000175397,0.000175397,0.0329335
6,1529.66,4.16003,3.07786,0.25849,0.30928,0.31718,0.23917,0.0943,4.39578,3.4073,0.27571,0.000162247,0.000162247,0.0194689
7,1773.09,4.03022,2.97053,0.25347,0.28684,0.34278,0.24161,0.09523,4.27065,3.2927,0.27042,0.000133015,0.000133015,0.00598818
8,2015.63,3.95294,2.89439,0.2496,0.32159,0.38613,0.27322,0.10617,4.21317,3.24366,0.26861,8.7361e-05,8.7361e-05,8.7361e-05
9,2254.17,3.87294,2.81111,0.24758,0.32556,0.39948,0.2827,0.11195,4.18023,3.17467,0.26731,4.45644e-05,4.45644e-05,4.45644e-05
10,2492.26,3.8156,2.76557,0.24618,0.34066,0.38555,0.29043,0.11361,4.15545,3.16805,0.26637,1.70872e-05,1.70872e-05,1.70872e-05
