epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.615,1.74845,4.95857,1.1059,0.54857,0.41476,0.42191,0.17717,1.93919,6.8863,1.19169,0.00061746,0.00061746,0.0707144
2,212.786,1.46558,3.62723,0.97356,0.68497,0.43017,0.49782,0.27207,1.85824,4.80147,1.16134,0.00122769,0.00122769,0.0413843
3,315.177,1.41232,3.391,0.94621,0.58222,0.49659,0.52893,0.29479,1.7957,4.41412,1.13627,0.00182992,0.00182992,0.0120462
4,416.737,1.35039,3.14344,0.91867,0.72021,0.45059,0.52563,0.20419,1.82239,4.61601,1.06901,0.00202478,0.00202478,0.00202478
5,518.173,1.34041,3.06277,0.90551,0.67166,0.46725,0.5171,0.27137,1.75898,4.35764,1.0659,0.00201142,0.00201142,0.00201142
6,619.347,1.30207,2.97846,0.89421,0.67106,0.56026,0.6126,0.39361,1.71731,3.73593,1.05581,0.00199805,0.00199805,0.00199805
7,720.105,1.26894,2.82227,0.88086,0.74171,0.55491,0.63943,0.41,1.71585,3.4986,1.09243,0.00198469,0.00198469,0.00198469
8,821.586,1.25971,2.8154,0.87354,0.7157,0.55933,0.60667,0.33499,1.66833,4.10724,1.01015,0.00197133,0.00197133,0.00197133
9,922.687,1.23668,2.75544,0.86461,0.72985,0.59253,0.6589,0.41792,1.62212,3.36622,1.01482,0.00195796,0.00195796,0.00195796
10,1024,1.23266,2.69365,0.86423,0.74942,0.60958,0.68323,0.41151,1.64461,3.37468,1.03188,0.0019446,0.0019446,0.0019446
11,1124.93,1.21912,2.65733,0.85884,0.70763,0.62246,0.68579,0.43099,1.6633,3.24769,1.05348,0.00193123,0.00193123,0.00193123
12,1226.05,1.2075,2.62224,0.85144,0.6964,0.5789,0.64707,0.42473,1.69154,3.42894,1.04892,0.00191787,0.00191787,0.00191787
13,1327.37,1.19399,2.59738,0.84691,0.6837,0.64971,0.68294,0.44823,1.63326,3.54561,1.02096,0.00190451,0.00190451,0.00190451
14,1428.45,1.16972,2.53757,0.83919,0.71549,0.64639,0.70134,0.43447,1.61289,3.34872,1.00773,0.00189114,0.00189114,0.00189114
15,1529.94,1.17806,2.55357,0.84378,0.74091,0.62191,0.69111,0.41334,1.62461,3.42783,1.00954,0.00187778,0.00187778,0.00187778
16,1631.04,1.18039,2.55604,0.8426,0.7556,0.61405,0.68039,0.45498,1.63442,3.18137,1.02997,0.00186442,0.00186442,0.00186442
17,1731.87,1.17268,2.53505,0.83919,0.69528,0.64816,0.68884,0.47122,1.60482,3.16081,1.01701,0.00185105,0.00185105,0.00185105
18,1833.26,1.16451,2.48892,0.83814,0.71896,0.65479,0.69591,0.44848,1.63111,3.17601,1.02508,0.00183769,0.00183769,0.00183769
19,1934.27,1.1673,2.46159,0.83669,0.67571,0.65653,0.68456,0.4466,1.61024,3.22263,1.00139,0.00182432,0.00182432,0.00182432
20,2035.19,1.15566,2.45318,0.83143,0.75103,0.66153,0.71152,0.4793,1.58499,3.10901,0.99245,0.00181096,0.00181096,0.00181096
21,2136.38,1.14262,2.40692,0.83136,0.66516,0.65466,0.69786,0.48047,1.60608,3.03544,0.99459,0.0017976,0.0017976,0.0017976
22,2237.4,1.15345,2.43113,0.83086,0.67648,0.68279,0.71632,0.48204,1.60969,3.09642,0.99655,0.00178423,0.00178423,0.00178423
23,2338.34,1.14953,2.38414,0.8281,0.67687,0.65676,0.71168,0.45304,1.60363,3.06723,0.9923,0.00177087,0.00177087,0.00177087
24,2439.3,1.14807,2.4154,0.82964,0.73561,0.66475,0.71956,0.49053,1.58519,3.05042,0.99029,0.00175751,0.00175751,0.00175751
25,2540.29,1.13143,2.37954,0.82471,0.69688,0.68359,0.70592,0.49319,1.58822,3.00689,0.99311,0.00174414,0.00174414,0.00174414
26,2641.36,1.12948,2.34127,0.82047,0.71894,0.68241,0.72029,0.48028,1.58006,2.98186,0.98484,0.00173078,0.00173078,0.00173078
27,2742.33,1.13303,2.34795,0.8238,0.67888,0.65758,0.70933,0.48837,1.58568,2.9818,0.98294,0.00171741,0.00171741,0.00171741
28,2843.17,1.12225,2.31832,0.8204,0.75588,0.68365,0.73343,0.49029,1.57493,2.97835,0.98577,0.00170405,0.00170405,0.00170405
29,2944.21,1.11144,2.28255,0.81698,0.74096,0.68166,0.72679,0.49527,1.57228,2.96294,0.98269,0.00169069,0.00169069,0.00169069
30,3045.02,1.1176,2.31379,0.81636,0.79014,0.66101,0.7185,0.47962,1.57824,2.95555,0.97816,0.00167732,0.00167732,0.00167732
31,3146.07,1.1148,2.27744,0.81603,0.69027,0.67792,0.73719,0.48882,1.5819,2.9464,0.97826,0.00166396,0.00166396,0.00166396
32,3246.91,1.10678,2.27227,0.81412,0.79587,0.66138,0.72417,0.49667,1.57724,2.91149,0.98018,0.0016506,0.0016506,0.0016506
33,3347.8,1.10185,2.23608,0.81233,0.68388,0.70649,0.73465,0.4821,1.57047,2.91221,0.97439,0.00163723,0.00163723,0.00163723
34,3448.73,1.10752,2.26512,0.81469,0.72397,0.72382,0.74832,0.50138,1.56393,2.89163,0.97073,0.00162387,0.00162387,0.00162387
35,3549.68,1.10178,2.23496,0.81033,0.74317,0.6879,0.74293,0.50427,1.55935,2.84924,0.96618,0.0016105,0.0016105,0.0016105
36,3650.76,1.08775,2.22257,0.81011,0.72703,0.722,0.7483,0.51024,1.56148,2.85163,0.97321,0.00159714,0.00159714,0.00159714
37,3751.89,1.08195,2.19359,0.80474,0.68233,0.69468,0.73526,0.49959,1.56798,2.84043,0.97281,0.00158378,0.00158378,0.00158378
38,3852.72,1.09792,2.22012,0.80949,0.71378,0.70877,0.74195,0.5083,1.56141,2.87786,0.96704,0.00157041,0.00157041,0.00157041
39,3953.8,1.07357,2.16871,0.80338,0.686,0.7068,0.73482,0.50046,1.56568,2.84062,0.96665,0.00155705,0.00155705,0.00155705
40,4054.7,1.09273,2.21232,0.80941,0.73404,0.69125,0.73892,0.50796,1.56691,2.81346,0.97027,0.00154369,0.00154369,0.00154369
41,4155.64,1.0899,2.18214,0.80864,0.72595,0.69842,0.74554,0.51144,1.56577,2.82551,0.9717,0.00153032,0.00153032,0.00153032
42,4256.53,1.0907,2.19522,0.80809,0.71876,0.71029,0.74522,0.51029,1.56238,2.80079,0.96941,0.00151696,0.00151696,0.00151696
43,4357.41,1.07301,2.14343,0.80092,0.7234,0.70294,0.74087,0.51277,1.55563,2.81927,0.96713,0.00150359,0.00150359,0.00150359
44,4458.14,1.07383,2.15117,0.80278,0.72071,0.71776,0.7435,0.51242,1.55933,2.81136,0.96577,0.00149023,0.00149023,0.00149023
45,4558.92,1.07762,2.15112,0.80444,0.75612,0.7031,0.74876,0.51428,1.56101,2.79995,0.96727,0.00147687,0.00147687,0.00147687
46,4659.89,1.05146,2.09541,0.79678,0.73162,0.71208,0.74488,0.51692,1.55783,2.80468,0.9656,0.0014635,0.0014635,0.0014635
47,4760.95,1.07272,2.12672,0.80324,0.72438,0.72405,0.75058,0.51328,1.55782,2.79042,0.96482,0.00145014,0.00145014,0.00145014
48,4861.7,1.05798,2.09768,0.79808,0.72059,0.72365,0.74964,0.51551,1.55845,2.77572,0.96464,0.00143678,0.00143678,0.00143678
49,4962.51,1.07503,2.09799,0.79982,0.72741,0.72434,0.751,0.51729,1.55933,2.77572,0.96381,0.00142341,0.00142341,0.00142341
50,5063.4,1.07684,2.1178,0.80014,0.73195,0.72156,0.75378,0.51517,1.55798,2.77112,0.95981,0.00141005,0.00141005,0.00141005
51,5164.35,1.06504,2.10959,0.79805,0.72635,0.72817,0.75446,0.51747,1.55726,2.77178,0.9629,0.00139668,0.00139668,0.00139668
52,5265.23,1.0518,2.08675,0.79644,0.74489,0.72831,0.76087,0.52113,1.55459,2.76485,0.963,0.00138332,0.00138332,0.00138332
53,5365.95,1.06718,2.08857,0.79817,0.74841,0.72896,0.75902,0.52063,1.55717,2.76513,0.96222,0.00136996,0.00136996,0.00136996
54,5466.54,1.06474,2.08597,0.79825,0.74374,0.72894,0.75765,0.51974,1.55543,2.7588,0.9612,0.00135659,0.00135659,0.00135659
55,5567.43,1.0427,2.05125,0.79328,0.72577,0.71781,0.75425,0.51921,1.5554,2.74972,0.96015,0.00134323,0.00134323,0.00134323
56,5668.11,1.05771,2.04167,0.79665,0.73499,0.71485,0.75603,0.52135,1.55531,2.74294,0.96184,0.00132986,0.00132986,0.00132986
57,5768.9,1.05835,2.05795,0.79483,0.73826,0.72107,0.75925,0.52667,1.55584,2.73431,0.96119,0.0013165,0.0013165,0.0013165
58,5869.8,1.05412,2.05314,0.79414,0.74288,0.72007,0.7616,0.52452,1.55481,2.74193,0.96012,0.00130314,0.00130314,0.00130314
59,5970.71,1.05346,2.04743,0.7954,0.75089,0.73128,0.76609,0.52803,1.55395,2.73795,0.9604,0.00128977,0.00128977,0.00128977
60,6071.49,1.06003,2.06044,0.7978,0.7552,0.7288,0.76411,0.52964,1.55292,2.73204,0.96026,0.00127641,0.00127641,0.00127641
61,6172.39,1.04044,2.01975,0.78999,0.7398,0.73312,0.76349,0.53129,1.55368,2.7285,0.96001,0.00126305,0.00126305,0.00126305
62,6273.09,1.05072,2.03948,0.79562,0.72795,0.74954,0.76628,0.5351,1.55256,2.72426,0.95998,0.00124968,0.00124968,0.00124968
63,6373.79,1.03198,2.00258,0.78809,0.74268,0.74905,0.76817,0.53593,1.55331,2.72231,0.96004,0.00123632,0.00123632,0.00123632
64,6474.61,1.05902,2.02794,0.79482,0.7466,0.74423,0.76845,0.53692,1.55275,2.72328,0.95983,0.00122295,0.00122295,0.00122295
65,6575.46,1.02429,1.96417,0.78505,0.74281,0.74596,0.76804,0.5377,1.55294,2.72334,0.95959,0.00120959,0.00120959,0.00120959
66,6677.17,1.04402,1.99487,0.79061,0.74229,0.74616,0.77048,0.53718,1.55344,2.72125,0.95966,0.00119623,0.00119623,0.00119623
67,6778.67,1.0231,1.956,0.78511,0.74774,0.75001,0.77125,0.53825,1.55249,2.72097,0.95869,0.00118286,0.00118286,0.00118286
68,6879.91,1.0253,1.96663,0.78724,0.73504,0.74825,0.76801,0.53715,1.55296,2.719,0.95901,0.0011695,0.0011695,0.0011695
69,6981.53,1.02092,1.95787,0.785,0.73262,0.74616,0.76716,0.53742,1.55214,2.71493,0.95851,0.00115614,0.00115614,0.00115614
70,7082.75,1.03624,1.99311,0.79068,0.73563,0.74406,0.76806,0.53847,1.55276,2.71331,0.95878,0.00114277,0.00114277,0.00114277
71,7183.87,1.03789,1.97184,0.7908,0.73671,0.74361,0.76892,0.53876,1.55276,2.7109,0.95967,0.00112941,0.00112941,0.00112941
72,7285.14,1.03438,1.95271,0.78821,0.74159,0.73845,0.76875,0.53816,1.55396,2.70651,0.96009,0.00111604,0.00111604,0.00111604
73,7386.32,1.0306,1.95973,0.78729,0.7434,0.74483,0.76863,0.53799,1.55366,2.70411,0.95956,0.00110268,0.00110268,0.00110268
74,7504.71,1.02975,1.95325,0.78885,0.73753,0.74441,0.76859,0.53809,1.55305,2.70324,0.95912,0.00108932,0.00108932,0.00108932
75,7623.49,1.03337,1.94568,0.78767,0.73947,0.74271,0.76846,0.5374,1.55291,2.69966,0.95905,0.00107595,0.00107595,0.00107595
76,7747.81,1.03172,1.938,0.78763,0.73753,0.7458,0.7681,0.53801,1.55344,2.6977,0.95914,0.00106259,0.00106259,0.00106259
77,7929.12,1.02435,1.92427,0.78669,0.74533,0.73871,0.76776,0.53894,1.55365,2.69487,0.95924,0.00104923,0.00104923,0.00104923
78,8064.93,1.03232,1.94104,0.79114,0.74921,0.73538,0.76777,0.53927,1.55417,2.69264,0.95969,0.00103586,0.00103586,0.00103586
