epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,286.821,1.42382,2.90206,2.92653,0.04539,0.15887,0.03702,0.01396,1.51539,2.94401,3.32828,3.43738e-06,3.43738e-06,0.0817082
2,602.529,1.28532,2.4769,2.72114,0.09217,0.15943,0.06387,0.02218,1.34594,2.63833,2.74505,6.70869e-06,6.70869e-06,0.0634057
3,895.936,1.22911,2.35155,2.63991,0.13497,0.20749,0.10131,0.03636,1.19547,2.3752,2.65726,9.33247e-06,9.33247e-06,0.0451026
4,1200.49,1.18901,2.2538,2.58174,0.09783,0.25278,0.1129,0.04123,1.18746,2.34552,2.70754,1.09246e-05,1.09246e-05,0.0267985
5,1516.27,1.1521,2.18456,2.54656,0.13833,0.23626,0.12854,0.0464,1.13745,2.19582,2.58645,1.12632e-05,1.12632e-05,0.00849313
6,1815.67,1.13197,2.13378,2.52273,0.20123,0.26143,0.14134,0.05224,1.11774,2.13294,2.5962,9.40851e-06,9.40851e-06,9.40851e-06
7,2151.9,1.12004,2.10786,2.50444,0.21879,0.27308,0.14813,0.05415,1.10963,2.1151,2.58973,6.50997e-06,6.50997e-06,6.50997e-06
8,2473.43,1.11151,2.10099,2.49767,0.2341,0.27631,0.14855,0.0549,1.10314,2.11925,2.57202,3.89517e-06,3.89517e-06,3.89517e-06
9,2791.49,1.10733,2.08782,2.48664,0.23752,0.27542,0.15237,0.05603,1.10238,2.11081,2.57012,1.82005e-06,1.82005e-06,1.82005e-06
10,3103.45,1.10705,2.0847,2.49008,0.23256,0.27664,0.15208,0.05649,1.10206,2.10615,2.57228,4.87737e-07,4.87737e-07,4.87737e-07
